Team,Gm#,Date,,Tm, ,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
LAD,78,"Friday, Jun 21",boxscore,LAD,,LAA,L,2,3,10,47-31,1,up 8.0,GarcÃ­a,Banda,EstÃ©vez,2:40,N,"51,841",1.07,-,
LAD,79,"Saturday, Jun 22",boxscore,LAD,,LAA,W,7,2,,48-31,1,up 8.0,Glasnow,Plesac,,2:10,N,"53,273",1.13,+,
LAD,80,"Monday, Jun 24",boxscore,LAD,@,CHW,W,3,0,,49-31,1,up 8.5,Hudson,Wilson,Vesia,2:28,N,"25,070",1.08,++,
LAD,81,"Tuesday, Jun 25",boxscore,LAD,@,CHW,W,4,3,,50-31,1,up 8.5,Petersen,Flexen,Phillips,2:49,N,"23,662",1.00,+++,
LAD,82,"Wednesday, Jun 26",boxscore,LAD,@,CHW,W,4,0,,51-31,1,up 8.5,Stone,Fedde,,2:02,N,"36,225",1.02,++++,
LAD,83,"Friday, Jun 28",boxscore,LAD,@,SFG,L-wo,3,5,,51-32,1,up 7.5,Doval,Treinen,,2:15,N,"40,052",.99,-,
LAD,84,"Saturday, Jun 29",boxscore,LAD,@,SFG,W,14,7,11,52-32,1,up 7.5,Hudson,Hjelle,,3:45,D,"39,663",1.04,+,
LAD,85,"Sunday, Jun 30",boxscore,LAD,@,SFG,L,4,10,,52-33,1,up 7.5,Bivens,Paxton,,2:27,D,"40,428",1.07,-,
LAD,Gm#,July,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
LAD,86,"Tuesday, Jul 2",boxscore,LAD,,ARI,W-wo,6,5,,53-33,1,up 8.5,Phillips,Sewald,,2:44,N,"52,931",1.09,+,
LAD,87,"Wednesday, Jul 3",boxscore,LAD,,ARI,L,4,12,,53-34,1,up 7.5,Jarvis,Yarbrough,,3:23,N,"47,965",.99,-,
LAD,88,"Thursday, Jul 4",boxscore,LAD,,ARI,L,3,9,,53-35,1,up 6.5,Martinez,Knack,,2:48,N,"52,320",1.04,--,
LAD,89,"Friday, Jul 5",boxscore,LAD,,MIL,W,8,5,,54-35,1,up 6.5,Hudson,Peguero,Phillips,2:30,N,"49,885",1.43,+,
LAD,90,"Saturday, Jul 6",boxscore,LAD,,MIL,W,5,3,,55-35,1,up 7.5,Phillips,Hudson,Vesia,2:42,D,"50,086",1.42,++,
LAD,91,"Sunday, Jul 7",boxscore,LAD,,MIL,L,2,9,,55-36,1,up 7.5,Junis,Wrobleski,,2:53,D,"43,528",1.31,-,
